assem_dist,shape_leng,shape_area,geometry,ad_num,Donald J. Trump JD Vance,Kamala D. Harris Tim Walz,total,d_share,r_share,Donald J. Trump / Michael R. Pence,Joseph R. Biden / Kamala D. Harris,total_20,d_share_20,r_share_20,two_party_swing_r,swing_dir,lon,lat
83,56912.2843226,103945608.216,"c(-73.8467072775482, 40.8828270046301)",083,4295,30156,34451,87.53301790949465,12.466982090505356,2759,39534,42293,93.47646182583406,6.523538174165938,5.943443916339418,red,-73.84670727754819,40.88282700463007
40,44384.755935,93268301.064,"c(-73.8180591209519, 40.7664011683152)",040,12485,11612,24097,48.18857119143462,51.81142880856539,11083,18178,29261,62.12364580841393,37.87635419158607,13.935074616979321,red,-73.81805912095187,40.76640116831525
66,53046.4575726,55508066.4669,"c(-74.0016917031713, 40.7283896699609)",066,7507,45572,53079,85.85693023606322,14.143069763936774,5559,54071,59630,90.67751131980548,9.322488680194533,4.8205810837422405,red,-74.00169170317135,40.72838966996092
24,102794.271962,160544119.103,"c(-73.7904581324773, 40.7141578692092)",024,14920,21826,36746,59.396941163664074,40.603058836335926,11839,32102,43941,73.05705377665505,26.942946223344936,13.66011261299099,red,-73.7904581324773,40.71415786920921
25,97913.4673198,186639341.796,"c(-73.7926994645659, 40.7409674065843)",025,15358,15585,30943,50.3668034773616,49.6331965226384,15045,24851,39896,62.289452576699425,37.71054742330058,11.922649099337818,red,-73.79269946456594,40.74096740658428
67,67713.4703524,42987449.469,"c(-73.9837124581515, 40.7759033358297)",067,8339,49230,57569,85.51477357605656,14.485226423943443,8151,61394,69545,88.27953123876627,11.720468761233734,2.764757662709709,red,-73.98371245815146,40.77590333582973
75,63372.7295496,74042939.672,"c(-73.9902740091204, 40.7558512283524)",075,8243,40582,48825,83.11725550435229,16.88274449564772,7822,54798,62620,87.50878313637816,12.491216863621846,4.391527632025875,red,-73.99027400912043,40.75585122835245
79,45019.1353635,57953406.2642,"c(-73.9016215918472, 40.8320059222073)",079,6166,20691,26857,77.04136724131511,22.958632758684885,4285,34389,38674,88.92020478874696,11.079795211253037,11.878837547431848,red,-73.90162159184719,40.83200592220727
78,59895.1972343,61944507.7886,"c(-73.8874164322994, 40.8620585821683)",078,7640,16752,24392,68.67825516562807,31.321744834371923,4995,26527,31522,84.15392424338557,15.846075756614427,15.475669077757496,red,-73.88741643229937,40.86205858216831
84,82624.996226,111134301.653,"c(-73.9060774749523, 40.8127218195416)",084,7254,20512,27766,73.8745227976662,26.12547720233379,4505,29692,34197,86.82632979501126,13.173670204988742,12.951806997345049,red,-73.90607747495226,40.81272181954163
28,69243.9274856,146214862.248,"c(-73.8595327757583, 40.7140995925865)",028,20960,25826,46786,55.2002735861155,44.79972641388449,19388,33529,52917,63.36149063627946,36.638509363720544,8.161217050163948,red,-73.8595327757583,40.71409959258648
38,71323.233992,124359758.487,"c(-73.8705730611539, 40.6943317013974)",038,13416,17452,30868,56.53751457820396,43.46248542179603,10250,26374,36624,72.0128877238969,27.987112276103105,15.475373145692927,red,-73.87057306115389,40.694331701397424
86,53864.0099365,45771537.749,"c(-73.9045987204307, 40.854710753691)",086,7899,16415,24314,67.5125442132105,32.4874557867895,4785,25820,30605,84.3652997876164,15.634700212383597,16.852755574405904,red,-73.90459872043067,40.85471075369097
71,77739.716116,58918545.0985,"c(-73.9396804738926, 40.8438321464216)",071,6641,36028,42669,84.43600740584499,15.563992594155007,5170,48910,54080,90.44008875739645,9.55991124260355,6.0040813515514575,red,-73.93968047389264,40.84383214642161
77,70328.757551,46363474.7241,"c(-73.9196747739736, 40.8390620790696)",077,6918,18902,25820,73.20681642137878,26.79318357862122,4555,30140,34695,86.87130710477014,13.12869289522986,13.664490683391362,red,-73.91967477397364,40.83906207906958
72,53664.0216549,45782530.8312,"c(-73.9262483586033, 40.8566437044546)",072,10189,26065,36254,71.89551497765764,28.104485022342363,7145,39060,46205,84.53630559463261,15.463694405367384,12.640790616974979,red,-73.9262483586033,40.85664370445464
81,82919.4615015,188491688.963,"c(-73.8903565388402, 40.8932582392117)",081,10721,28027,38748,72.33147517291215,27.668524827087847,9724,37575,47299,79.44142582295609,20.558574177043912,7.109950650043935,red,-73.8903565388402,40.893258239211654
61,218348.701324,205568635.375,"c(-74.1047838426489, 40.6386226017659)",061,15064,26530,41594,63.78323796701447,36.21676203298553,16240,32986,49226,67.00930402632756,32.99069597367245,3.2260660593130766,red,-74.10478384264889,40.638622601765874
64,206858.72862,367209007.009,"c(-74.1011443483075, 40.5813535773114)",064,34542,16908,51450,32.862973760932945,67.13702623906705,31132,23067,54199,42.559825827044776,57.44017417295522,9.696852066111838,red,-74.10114434830747,40.58135357731143
