AD_num,reported,candidate,party,votes,scrape_time
AD   52,98.20%,Khari O. Edwards,(Democratic),5890,2025-07-02_13:53:19.361845
AD   52,98.20%,WRITE-IN,,153,2025-07-02_13:53:19.361845
AD   53,93.48%,Antonio Reynoso,(Democratic),16210,2025-07-02_13:53:19.361845
AD   53,93.48%,Khari O. Edwards,(Democratic),3334,2025-07-02_13:53:19.361845
AD   53,93.48%,WRITE-IN,,66,2025-07-02_13:53:19.361845
AD   54,95.24%,Antonio Reynoso,(Democratic),7098,2025-07-02_13:53:19.361845
AD   54,95.24%,Khari O. Edwards,(Democratic),2299,2025-07-02_13:53:19.361845
AD   54,95.24%,WRITE-IN,,39,2025-07-02_13:53:19.361845
AD   55,98.82%,Antonio Reynoso,(Democratic),6597,2025-07-02_13:53:19.361845
AD   55,98.82%,Khari O. Edwards,(Democratic),3691,2025-07-02_13:53:19.361845
AD   55,98.82%,WRITE-IN,,36,2025-07-02_13:53:19.361845
AD   56,97.92%,Antonio Reynoso,(Democratic),15920,2025-07-02_13:53:19.361845
AD   56,97.92%,Khari O. Edwards,(Democratic),5805,2025-07-02_13:53:19.361845
AD   56,97.92%,WRITE-IN,,62,2025-07-02_13:53:19.361845
AD   57,97.27%,Antonio Reynoso,(Democratic),23217,2025-07-02_13:53:19.361845
AD   57,97.27%,Khari O. Edwards,(Democratic),6500,2025-07-02_13:53:19.361845
AD   57,97.27%,WRITE-IN,,80,2025-07-02_13:53:19.361845
AD   58,98.17%,Antonio Reynoso,(Democratic),6942,2025-07-02_13:53:19.361845
AD   58,98.17%,Khari O. Edwards,(Democratic),4781,2025-07-02_13:53:19.361845
AD   58,98.17%,WRITE-IN,,39,2025-07-02_13:53:19.361845
AD   59,98.88%,Antonio Reynoso,(Democratic),7383,2025-07-02_13:53:19.361845
AD   59,98.88%,Khari O. Edwards,(Democratic),3614,2025-07-02_13:53:19.361845
AD   59,98.88%,WRITE-IN,,43,2025-07-02_13:53:19.361845
AD   60,95.95%,Antonio Reynoso,(Democratic),5658,2025-07-02_13:53:19.361845
AD   60,95.95%,Khari O. Edwards,(Democratic),3415,2025-07-02_13:53:19.361845
AD   60,95.95%,WRITE-IN,,40,2025-07-02_13:53:19.361845
AD   61,99.00%,Antonio Reynoso,(Democratic),2,2025-07-02_13:53:19.361845
AD   61,99.00%,Khari O. Edwards,(Democratic),0,2025-07-02_13:53:19.361845
AD   61,99.00%,WRITE-IN,,0,2025-07-02_13:53:19.361845
AD   64,99.00%,Antonio Reynoso,(Democratic),2331,2025-07-02_13:53:19.361845
AD   64,99.00%,Khari O. Edwards,(Democratic),547,2025-07-02_13:53:19.361845
AD   64,99.00%,WRITE-IN,,17,2025-07-02_13:53:19.361845
Total,,Antonio Reynoso,(Democratic),241149,2025-07-02_13:53:19.361845
Total,,Khari O. Edwards,(Democratic),70261,2025-07-02_13:53:19.361845
Total,,WRITE-IN,,1474,2025-07-02_13:53:19.361845
