ED_num,reported,candidate,party,votes,AD_num
ED   23,99.00%,NO,&nbsp,149,AD 25
ED   24,99.00%,YES,&nbsp,366,AD 25
ED   24,99.00%,NO,&nbsp,199,AD 25
ED   25,99.00%,YES,&nbsp,507,AD 25
ED   25,99.00%,NO,&nbsp,331,AD 25
ED   26,99.00%,YES,&nbsp,529,AD 25
ED   26,99.00%,NO,&nbsp,324,AD 25
ED   27,99.00%,YES,&nbsp,534,AD 25
ED   27,99.00%,NO,&nbsp,242,AD 25
ED   28,99.00%,YES,&nbsp,445,AD 25
ED   28,99.00%,NO,&nbsp,173,AD 25
ED   29,99.00%,YES,&nbsp,481,AD 25
ED   29,99.00%,NO,&nbsp,292,AD 25
ED   30,99.00%,YES,&nbsp,376,AD 25
ED   30,99.00%,NO,&nbsp,294,AD 25
ED   31,85.71%,YES,&nbsp,314,AD 25
ED   31,85.71%,NO,&nbsp,210,AD 25
ED   32,99.00%,YES,&nbsp,326,AD 25
ED   32,99.00%,NO,&nbsp,220,AD 25
ED   33,99.00%,YES,&nbsp,424,AD 25
ED   33,99.00%,NO,&nbsp,426,AD 25
ED   34,85.71%,YES,&nbsp,351,AD 25
ED   34,85.71%,NO,&nbsp,267,AD 25
ED   35,99.00%,YES,&nbsp,466,AD 25
ED   35,99.00%,NO,&nbsp,191,AD 25
ED   36,99.00%,YES,&nbsp,352,AD 25
ED   36,99.00%,NO,&nbsp,227,AD 25
ED   37,99.00%,YES,&nbsp,326,AD 25
ED   37,99.00%,NO,&nbsp,127,AD 25
ED   38,99.00%,YES,&nbsp,340,AD 25
ED   38,99.00%,NO,&nbsp,148,AD 25
ED   39,99.00%,YES,&nbsp,315,AD 25
ED   39,99.00%,NO,&nbsp,150,AD 25
ED   40,99.00%,YES,&nbsp,369,AD 25
ED   40,99.00%,NO,&nbsp,169,AD 25
ED   41,99.00%,YES,&nbsp,269,AD 25
ED   41,99.00%,NO,&nbsp,101,AD 25
ED   42,99.00%,YES,&nbsp,389,AD 25
ED   42,99.00%,NO,&nbsp,123,AD 25
ED   43,99.00%,YES,&nbsp,346,AD 25
ED   43,99.00%,NO,&nbsp,134,AD 25
ED   44,99.00%,YES,&nbsp,392,AD 25
ED   44,99.00%,NO,&nbsp,101,AD 25
ED   45,88.89%,YES,&nbsp,424,AD 25
ED   45,88.89%,NO,&nbsp,180,AD 25
ED   46,99.00%,YES,&nbsp,319,AD 25
ED   46,99.00%,NO,&nbsp,122,AD 25
ED   47,88.89%,YES,&nbsp,221,AD 25
ED   47,88.89%,NO,&nbsp,84,AD 25
ED   48,99.00%,YES,&nbsp,108,AD 25
ED   48,99.00%,NO,&nbsp,16,AD 25
ED   49,99.00%,YES,&nbsp,0,AD 25
ED   49,99.00%,NO,&nbsp,0,AD 25
ED   50,99.00%,YES,&nbsp,0,AD 25
ED   50,99.00%,NO,&nbsp,0,AD 25
Total,,YES,&nbsp,18276,AD 25
Total,,NO,&nbsp,9485,AD 25
ED    1,99.00%,YES,&nbsp,204,AD 26
ED    1,99.00%,NO,&nbsp,86,AD 26
ED    2,99.00%,YES,&nbsp,120,AD 26
ED    2,99.00%,NO,&nbsp,26,AD 26
ED    3,99.00%,YES,&nbsp,143,AD 26
ED    3,99.00%,NO,&nbsp,37,AD 26
ED    4,85.71%,YES,&nbsp,192,AD 26
ED    4,85.71%,NO,&nbsp,74,AD 26
ED    5,99.00%,YES,&nbsp,26,AD 26
ED    5,99.00%,NO,&nbsp,1,AD 26
ED    6,99.00%,YES,&nbsp,421,AD 26
ED    6,99.00%,NO,&nbsp,186,AD 26
ED    7,88.89%,YES,&nbsp,585,AD 26
ED    7,88.89%,NO,&nbsp,236,AD 26
ED    8,88.89%,YES,&nbsp,625,AD 26
ED    8,88.89%,NO,&nbsp,323,AD 26
ED    9,99.00%,YES,&nbsp,236,AD 26
ED    9,99.00%,NO,&nbsp,102,AD 26
ED   10,99.00%,YES,&nbsp,633,AD 26
ED   10,99.00%,NO,&nbsp,222,AD 26
ED   11,99.00%,YES,&nbsp,338,AD 26
ED   11,99.00%,NO,&nbsp,140,AD 26
ED   12,88.89%,YES,&nbsp,665,AD 26
ED   12,88.89%,NO,&nbsp,359,AD 26
ED   13,99.00%,YES,&nbsp,566,AD 26
ED   13,99.00%,NO,&nbsp,299,AD 26
ED   14,99.00%,YES,&nbsp,534,AD 26
ED   14,99.00%,NO,&nbsp,278,AD 26
ED   15,99.00%,YES,&nbsp,646,AD 26
ED   15,99.00%,NO,&nbsp,260,AD 26
ED   16,99.00%,YES,&nbsp,591,AD 26
ED   16,99.00%,NO,&nbsp,347,AD 26
ED   17,99.00%,YES,&nbsp,626,AD 26
ED   17,99.00%,NO,&nbsp,377,AD 26
ED   18,99.00%,YES,&nbsp,446,AD 26
ED   18,99.00%,NO,&nbsp,168,AD 26
ED   19,99.00%,YES,&nbsp,253,AD 26
ED   19,99.00%,NO,&nbsp,138,AD 26
ED   20,99.00%,YES,&nbsp,615,AD 26
ED   20,99.00%,NO,&nbsp,390,AD 26
ED   21,99.00%,YES,&nbsp,514,AD 26
ED   21,99.00%,NO,&nbsp,441,AD 26
ED   22,99.00%,YES,&nbsp,466,AD 26
ED   22,99.00%,NO,&nbsp,519,AD 26
ED   23,99.00%,YES,&nbsp,570,AD 26
ED   23,99.00%,NO,&nbsp,325,AD 26
ED   24,99.00%,YES,&nbsp,554,AD 26
ED   24,99.00%,NO,&nbsp,411,AD 26
ED   25,99.00%,YES,&nbsp,396,AD 26
ED   25,99.00%,NO,&nbsp,232,AD 26
ED   26,99.00%,YES,&nbsp,351,AD 26
ED   26,99.00%,NO,&nbsp,313,AD 26
ED   27,99.00%,YES,&nbsp,101,AD 26
ED   27,99.00%,NO,&nbsp,44,AD 26
ED   28,99.00%,YES,&nbsp,455,AD 26
ED   28,99.00%,NO,&nbsp,260,AD 26
ED   29,99.00%,YES,&nbsp,325,AD 26
ED   29,99.00%,NO,&nbsp,189,AD 26
ED   30,99.00%,YES,&nbsp,6,AD 26
ED   30,99.00%,NO,&nbsp,4,AD 26
ED   31,99.00%,YES,&nbsp,512,AD 26
ED   31,99.00%,NO,&nbsp,285,AD 26
ED   32,99.00%,YES,&nbsp,529,AD 26
ED   32,99.00%,NO,&nbsp,255,AD 26
ED   33,99.00%,YES,&nbsp,492,AD 26
ED   33,99.00%,NO,&nbsp,360,AD 26
ED   34,99.00%,YES,&nbsp,534,AD 26
ED   34,99.00%,NO,&nbsp,471,AD 26
ED   35,99.00%,YES,&nbsp,310,AD 26
ED   35,99.00%,NO,&nbsp,270,AD 26
ED   36,99.00%,YES,&nbsp,495,AD 26
ED   36,99.00%,NO,&nbsp,371,AD 26
ED   37,99.00%,YES,&nbsp,377,AD 26
ED   37,99.00%,NO,&nbsp,280,AD 26
ED   38,99.00%,YES,&nbsp,698,AD 26
ED   38,99.00%,NO,&nbsp,333,AD 26
ED   39,99.00%,YES,&nbsp,328,AD 26
ED   39,99.00%,NO,&nbsp,180,AD 26
ED   40,99.00%,YES,&nbsp,342,AD 26
ED   40,99.00%,NO,&nbsp,181,AD 26
ED   41,99.00%,YES,&nbsp,666,AD 26
ED   41,99.00%,NO,&nbsp,294,AD 26
ED   42,99.00%,YES,&nbsp,449,AD 26
ED   42,99.00%,NO,&nbsp,275,AD 26
ED   43,99.00%,YES,&nbsp,601,AD 26
ED   43,99.00%,NO,&nbsp,278,AD 26
ED   44,99.00%,YES,&nbsp,484,AD 26
ED   44,99.00%,NO,&nbsp,292,AD 26
ED   45,99.00%,YES,&nbsp,620,AD 26
ED   45,99.00%,NO,&nbsp,406,AD 26
ED   46,99.00%,YES,&nbsp,355,AD 26
ED   46,99.00%,NO,&nbsp,288,AD 26
ED   47,99.00%,YES,&nbsp,22,AD 26
ED   47,99.00%,NO,&nbsp,17,AD 26
ED   48,99.00%,YES,&nbsp,437,AD 26
ED   48,99.00%,NO,&nbsp,303,AD 26
ED   49,99.00%,YES,&nbsp,331,AD 26
ED   49,99.00%,NO,&nbsp,311,AD 26
ED   50,90.91%,YES,&nbsp,447,AD 26
ED   50,90.91%,NO,&nbsp,541,AD 26
ED   51,99.00%,YES,&nbsp,227,AD 26
ED   51,99.00%,NO,&nbsp,196,AD 26
ED   52,99.00%,YES,&nbsp,357,AD 26
ED   52,99.00%,NO,&nbsp,324,AD 26
ED   53,99.00%,YES,&nbsp,449,AD 26
ED   53,99.00%,NO,&nbsp,317,AD 26
ED   54,99.00%,YES,&nbsp,544,AD 26
ED   54,99.00%,NO,&nbsp,340,AD 26
ED   55,99.00%,YES,&nbsp,537,AD 26
ED   55,99.00%,NO,&nbsp,410,AD 26
ED   56,99.00%,YES,&nbsp,455,AD 26
ED   56,99.00%,NO,&nbsp,338,AD 26
ED   57,99.00%,YES,&nbsp,509,AD 26
ED   57,99.00%,NO,&nbsp,309,AD 26
ED   58,99.00%,YES,&nbsp,170,AD 26
ED   58,99.00%,NO,&nbsp,81,AD 26
ED   59,99.00%,YES,&nbsp,537,AD 26
ED   59,99.00%,NO,&nbsp,318,AD 26
