AD_num,reported,candidate,party,votes,scrape_time
AD   47,99.00%,Marty Dolan,(Democratic),859,2025-07-02_13:52:53.292283
AD   47,99.00%,Jenifer Rajkumar,(Democratic),1200,2025-07-02_13:52:53.292283
AD   47,99.00%,WRITE-IN,,38,2025-07-02_13:52:53.292283
AD   48,99.00%,Jumaane D. Williams,(Democratic),2927,2025-07-02_13:52:53.292283
AD   48,99.00%,Marty Dolan,(Democratic),1384,2025-07-02_13:52:53.292283
AD   48,99.00%,Jenifer Rajkumar,(Democratic),4168,2025-07-02_13:52:53.292283
AD   48,99.00%,WRITE-IN,,205,2025-07-02_13:52:53.292283
AD   49,98.48%,Jumaane D. Williams,(Democratic),2566,2025-07-02_13:52:53.292283
AD   49,98.48%,Marty Dolan,(Democratic),647,2025-07-02_13:52:53.292283
AD   49,98.48%,Jenifer Rajkumar,(Democratic),1016,2025-07-02_13:52:53.292283
AD   49,98.48%,WRITE-IN,,30,2025-07-02_13:52:53.292283
AD   50,98.65%,Jumaane D. Williams,(Democratic),16444,2025-07-02_13:52:53.292283
AD   50,98.65%,Marty Dolan,(Democratic),1645,2025-07-02_13:52:53.292283
AD   50,98.65%,Jenifer Rajkumar,(Democratic),3236,2025-07-02_13:52:53.292283
AD   50,98.65%,WRITE-IN,,167,2025-07-02_13:52:53.292283
AD   51,99.00%,Jumaane D. Williams,(Democratic),10334,2025-07-02_13:52:53.292283
AD   51,99.00%,Marty Dolan,(Democratic),874,2025-07-02_13:52:53.292283
AD   51,99.00%,Jenifer Rajkumar,(Democratic),1861,2025-07-02_13:52:53.292283
AD   51,99.00%,WRITE-IN,,60,2025-07-02_13:52:53.292283
AD   52,98.20%,Jumaane D. Williams,(Democratic),28845,2025-07-02_13:52:53.292283
AD   52,98.20%,Marty Dolan,(Democratic),2698,2025-07-02_13:52:53.292283
AD   52,98.20%,Jenifer Rajkumar,(Democratic),5285,2025-07-02_13:52:53.292283
AD   52,98.20%,WRITE-IN,,169,2025-07-02_13:52:53.292283
AD   53,93.48%,Jumaane D. Williams,(Democratic),15470,2025-07-02_13:52:53.292283
AD   53,93.48%,Marty Dolan,(Democratic),1080,2025-07-02_13:52:53.292283
AD   53,93.48%,Jenifer Rajkumar,(Democratic),2901,2025-07-02_13:52:53.292283
AD   53,93.48%,WRITE-IN,,120,2025-07-02_13:52:53.292283
AD   54,95.24%,Jumaane D. Williams,(Democratic),7501,2025-07-02_13:52:53.292283
AD   54,95.24%,Marty Dolan,(Democratic),819,2025-07-02_13:52:53.292283
AD   54,95.24%,Jenifer Rajkumar,(Democratic),1371,2025-07-02_13:52:53.292283
AD   54,95.24%,WRITE-IN,,45,2025-07-02_13:52:53.292283
AD   55,98.82%,Jumaane D. Williams,(Democratic),9162,2025-07-02_13:52:53.292283
AD   55,98.82%,Marty Dolan,(Democratic),559,2025-07-02_13:52:53.292283
AD   55,98.82%,Jenifer Rajkumar,(Democratic),889,2025-07-02_13:52:53.292283
AD   55,98.82%,WRITE-IN,,43,2025-07-02_13:52:53.292283
AD   56,97.92%,Jumaane D. Williams,(Democratic),19571,2025-07-02_13:52:53.292283
AD   56,97.92%,Marty Dolan,(Democratic),679,2025-07-02_13:52:53.292283
